date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Upper Band,Real Lower Band
2021-06-01 10:15:00,250.01,250.06,248.87,248.88,815307.0,-0.9117,250.6077,31.203,250.6077,251.6797,249.5357
2021-06-01 10:30:00,248.87,248.87,247.91,248.64,1142659.0,-0.8731,250.4982,29.9604,250.4982,251.8641,249.1323
2021-06-01 10:45:00,248.65,249.13,248.54,248.69,822538.0,-0.9164,250.3832,30.5668,250.3832,251.9383,248.8281
2021-06-01 11:00:00,248.66,248.9,247.68,247.95,850538.0,-1.3527,250.2132,26.9342,250.2132,252.0298,248.3966
2021-06-01 11:15:00,247.94,250.5,247.67,248.12,1663982.0,-1.2615,250.0547,28.9753,250.0547,252.0153,248.0941
2021-06-01 11:30:00,248.1,250.5,247.97,248.51,1965033.0,-0.992,249.9302,33.4639,249.9302,251.9502,247.9102
2021-06-01 11:45:00,248.5,248.63,248.27,248.31,516271.0,-0.9336,249.8132,32.36,249.8132,251.922,247.7044
2021-06-01 12:00:00,248.31,248.44,248.16,248.33,473400.0,-0.9058,249.6997,32.594,249.6997,251.8704,247.5291
2021-06-01 12:15:00,248.335,248.385,247.78,248.0,494770.0,-1.0573,249.5672,30.7461,249.5672,251.8119,247.3225
2021-06-01 12:30:00,248.0,248.26,247.84,248.22,502159.0,-1.009,249.4407,33.396,249.4407,251.6897,247.1918
2021-06-01 12:45:00,248.23,248.3,247.98,248.09,382381.0,-0.9818,249.3177,32.6197,249.3177,251.5796,247.0558
2021-06-01 13:00:00,248.11,248.145,247.85,248.035,347743.0,-1.063,249.1845,32.2854,249.1845,251.4187,246.9502
2021-06-01 13:15:00,248.03,248.03,247.7,247.84,398369.0,-1.1723,249.0375,31.0962,249.0375,251.2187,246.8562
2021-06-01 13:30:00,247.84,247.92,247.7,247.87,353342.0,-1.1722,248.8905,31.5048,248.8905,250.9679,246.813
2021-06-01 13:45:00,247.87,248.05,247.83,247.86,355636.0,-0.9907,248.7665,31.4394,248.7665,250.778,246.7549
2021-06-01 14:00:00,247.855,248.28,247.84,248.2686,341810.0,-0.7957,248.6669,37.06,248.6669,250.5669,246.7669
2021-06-01 14:15:00,248.26,248.26,248.01,248.05,424238.0,-0.978,248.5444,35.4245,248.5444,250.2632,246.8256
2021-06-01 14:30:00,248.055,248.2501,248.01,248.22,398918.0,-1.1902,248.3949,37.676,248.3949,249.6052,247.1846
2021-06-01 14:45:00,248.21,248.44,248.12,248.3359,574947.0,-0.6644,248.3119,39.1974,248.3119,249.2734,247.3503
2021-06-01 15:00:00,248.32,248.4799,248.29,248.43,379128.0,-0.635,248.2325,40.4399,248.2325,248.7985,247.6665
2021-06-01 15:15:00,248.43,248.44,247.91,248.19,485970.0,-0.2772,248.198,38.3366,248.198,248.6797,247.7162
2021-06-01 15:30:00,248.21,248.2273,247.89,247.92,446117.0,-0.2896,248.162,36.1124,248.162,248.6129,247.7111
2021-06-01 15:45:00,247.91,248.05,247.68,247.7472,563997.0,-0.3791,248.1148,34.754,248.1148,248.5308,247.6988
2021-06-01 16:00:00,247.76,248.1,246.96,247.38,2110162.0,-0.2299,248.0863,32.0567,248.0863,248.6082,247.5644
2021-06-01 16:15:00,247.4,247.55,247.22,247.46,835307.0,-0.266,248.0533,33.2448,248.0533,248.6418,247.4649
2021-06-01 16:30:00,247.46,247.4886,247.46,247.4886,615.0,-0.411,248.0023,33.6813,248.0023,248.6005,247.404
2021-06-01 16:45:00,247.45,247.5,247.45,247.5,1827.0,-0.3262,247.9618,33.8627,247.9618,248.5805,247.343
2021-06-01 17:00:00,247.4,247.5,247.4,247.4851,10852.0,-0.3402,247.9195,33.7357,247.9195,248.5472,247.2918
2021-06-01 17:15:00,247.45,247.6,247.4,247.6,612564.0,-0.1613,247.8995,35.693,247.8995,248.541,247.258
2021-06-01 17:30:00,247.5,247.5,247.45,247.45,753.0,-0.3102,247.861,34.3007,247.861,248.5133,247.2087
2021-06-01 17:45:00,247.45,247.45,247.45,247.45,356.0,-0.258,247.829,34.3007,247.829,248.4959,247.1622
2021-06-01 18:00:00,247.46,247.5,247.4336,247.4336,568.0,-0.2425,247.799,34.1394,247.799,248.48,247.1179
2021-06-01 18:15:00,247.45,247.45,247.11,247.11,1645.0,-0.2945,247.7625,31.1012,247.7625,248.5062,247.0187
2021-06-01 18:30:00,247.15,247.28,247.02,247.21,4054.0,-0.2663,247.7294,33.0396,247.7294,248.5089,246.95
2021-06-01 18:45:00,247.36,247.36,247.21,247.21,1330.0,-0.2622,247.697,33.0396,247.697,248.5055,246.8884
2021-06-01 19:00:00,247.18,247.26,247.18,247.26,890.0,-0.4063,247.6465,34.0673,247.6465,248.4317,246.8614
2021-06-01 19:15:00,247.18,247.18,247.0,247.17,3243.0,-0.3548,247.6025,33.1046,247.6025,248.3909,246.8141
2021-06-01 19:30:00,247.2,247.2,247.2,247.2,352.0,-0.4109,247.5515,33.7614,247.5515,248.3047,246.7983
2021-06-01 19:45:00,247.06,247.35,247.06,247.35,2302.0,-0.397,247.5022,37.0159,247.5022,248.1676,246.8369
2021-06-01 20:00:00,247.35,247.39,247.3,247.35,2272.0,-0.4347,247.4482,37.0159,247.4482,247.9616,246.9349
2021-06-02 04:15:00,247.14,247.14,247.14,247.14,150.0,-0.4231,247.3957,34.3944,247.3957,247.7975,246.9939
2021-06-02 04:30:00,247.24,247.4,247.24,247.26,776.0,-0.2662,247.3627,37.0749,247.3627,247.688,247.0375
2021-06-02 04:45:00,247.02,247.02,247.02,247.02,201.0,-0.2935,247.3264,34.1385,247.3264,247.6337,247.0191
2021-06-02 05:00:00,246.74,246.74,246.29,246.5,1382.0,-0.3557,247.2824,28.9152,247.2824,247.7543,246.8105
2021-06-02 05:45:00,247.0,247.0,247.0,247.0,205.0,-0.1859,247.2594,38.4473,247.2594,247.7392,246.7796
2021-06-02 06:45:00,247.21,247.21,247.21,247.21,347.0,-0.1126,247.2454,41.8921,247.2454,247.7139,246.777
2021-06-02 07:15:00,247.36,247.72,247.36,247.72,2646.0,0.0889,247.2564,49.1651,247.2564,247.7574,246.7554
2021-06-02 07:30:00,247.7,247.7,247.29,247.43,5932.0,-0.0223,247.2537,45.7385,247.2537,247.7502,246.7571
2021-06-02 07:45:00,247.41,247.55,247.41,247.55,1532.0,-0.0202,247.2512,47.3372,247.2512,247.7412,246.7612
2021-06-02 08:00:00,247.51,247.65,247.44,247.65,2282.0,0.0808,247.2612,48.664,247.2612,247.7746,246.7478
2021-06-02 08:15:00,247.51,247.75,247.4,247.65,6395.0,0.0808,247.2712,48.664,247.2712,247.8063,246.7361
2021-06-02 08:30:00,247.4429,247.75,247.4429,247.72,4604.0,0.1157,247.2855,49.6479,247.2855,247.8516,246.7194
2021-06-02 08:45:00,247.7201,247.8,247.65,247.72,8038.0,0.2469,247.316,49.6479,247.316,247.9062,246.7258
2021-06-02 09:00:00,247.72,247.72,247.5,247.66,5177.0,0.182,247.3385,48.7603,247.3385,247.9449,246.7321
2021-06-02 09:15:00,247.7,247.933,247.66,247.8,7974.0,0.2387,247.368,50.9156,247.368,248.0033,246.7327
2021-06-02 09:30:00,247.67,248.5,247.4,248.21,161750.0,0.3842,247.4155,56.5497,247.4155,248.1463,246.6847
2021-06-02 09:45:00,248.125,248.85,247.26,248.57,1576022.0,0.5664,247.4855,60.7172,247.4855,248.3624,246.6086
2021-06-02 10:00:00,248.6,248.91,248.42,248.49,1139306.0,0.5218,247.55,59.3849,247.55,248.5184,246.5816
2021-06-02 10:15:00,248.48,248.65,247.94,248.07,767911.0,0.2911,247.586,52.9622,247.586,248.5753,246.5967
2021-06-02 10:30:00,248.08,249.04,248.07,248.86,876889.0,0.6105,247.6615,61.2583,247.6615,248.7882,246.5348
2021-06-02 10:45:00,248.85,249.27,248.73,249.04,770220.0,0.7688,247.7565,62.8306,247.7565,249.0051,246.5079
2021-06-02 11:00:00,249.05,249.25,248.37,248.665,652330.0,0.5682,247.8268,57.6957,247.8268,249.1132,246.5403
2021-06-02 11:15:00,248.67,248.92,248.45,248.8,745402.0,0.7206,247.9157,58.9665,247.9157,249.2129,246.6186
2021-06-02 11:30:00,248.8,248.8584,248.47,248.65,470007.0,0.8722,248.0232,56.9651,248.0232,249.1823,246.8642
2021-06-02 11:45:00,248.67,248.715,248.1533,248.29,361430.0,0.5223,248.0877,52.4662,248.0877,249.1515,247.024
2021-06-02 12:00:00,248.29,248.42,248.07,248.12,380901.0,0.3681,248.1332,50.4844,248.1332,249.1178,247.1487
2021-06-02 12:15:00,248.13,248.29,247.85,247.86,1402594.0,0.0565,248.1402,47.5903,248.1402,249.1149,247.1656
2021-06-02 12:30:00,247.87,247.95,247.19,247.31,472624.0,-0.0485,248.1342,42.2031,248.1342,249.1276,247.1409
2021-06-02 12:45:00,247.29,247.49,247.16,247.37,364644.0,-0.0727,248.1252,42.9448,248.1252,249.1426,247.1079
2021-06-02 13:00:00,247.375,247.55,247.28,247.305,391830.0,-0.1393,248.108,42.3254,248.108,249.1678,247.0482
2021-06-02 13:15:00,247.31,247.33,247.02,247.06,318805.0,-0.2382,248.0785,40.0346,248.0785,249.2175,246.9395
